Year,Value,Units,Series,GeoCode
2008,100.0,Total,Endenergieproduktivität,
2009,99.7,Total,Endenergieproduktivität,
2010,96.7,Total,Endenergieproduktivität,
2011,105.3,Total,Endenergieproduktivität,
2012,105.3,Total,Endenergieproduktivität,
2013,102.8,Total,Endenergieproduktivität,
2014,110.8,Total,Endenergieproduktivität,
2015,110.0,Total,Endenergieproduktivität,
2016,110.3,Total,Endenergieproduktivität,
2017,111.7,Total,Endenergieproduktivität,
2018,116.3,Total,Endenergieproduktivität,
2019,116.9,Total,Endenergieproduktivität,
2020,120.0,Total,Endenergieproduktivität,
2008,100.0,%,Endenergieproduktivität,
2009,99.7,%,Endenergieproduktivität,
2010,96.7,%,Endenergieproduktivität,
2011,105.3,%,Endenergieproduktivität,
2012,105.3,%,Endenergieproduktivität,
2013,102.8,%,Endenergieproduktivität,
2014,110.8,%,Endenergieproduktivität,
2015,110.0,%,Endenergieproduktivität,
2016,110.3,%,Endenergieproduktivität,
2017,111.7,%,Endenergieproduktivität,
2018,116.3,%,Endenergieproduktivität,
2019,116.9,%,Endenergieproduktivität,
2020,120.0,%,Endenergieproduktivität,
2008,100.0,Total,Primärenergieverbrauch,
2009,94.1,Total,Primärenergieverbrauch,
2010,98.9,Total,Primärenergieverbrauch,
2011,94.6,Total,Primärenergieverbrauch,
2012,93.5,Total,Primärenergieverbrauch,
2013,96.1,Total,Primärenergieverbrauch,
2014,91.7,Total,Primärenergieverbrauch,
2015,92.2,Total,Primärenergieverbrauch,
2016,93.8,Total,Primärenergieverbrauch,
2017,94.0,Total,Primärenergieverbrauch,
2018,91.3,Total,Primärenergieverbrauch,
2019,89.0,Total,Primärenergieverbrauch,
2020,82.7,Total,Primärenergieverbrauch,
2021,84.8,Total,Primärenergieverbrauch,
