Year,Value,Units,Series,GeoCode
2001,3.6,Percentage,Data from the Federal Statistical Office,
2003,4.3,Percentage,Data from the Federal Statistical Office,
2005,4.6,Percentage,Data from the Federal Statistical Office,
2007,5.1,Percentage,Data from the Federal Statistical Office,
2010,5.6,Percentage,Data from the Federal Statistical Office,
2012,5.8,Percentage,Data from the Federal Statistical Office,
2013,6.0,Percentage,Data from the Federal Statistical Office,
2014,6.2,Percentage,Data from the Federal Statistical Office,
2015,6.3,Percentage,Data from the Federal Statistical Office,
2016,6.8,Percentage,Data from the Federal Statistical Office,
2017,6.8,Percentage,Data from the Federal Statistical Office,
2018,7.3,Percentage,Data from the Federal Statistical Office,
2019,7.8,Percentage,Data from the Federal Statistical Office,
2020,9.6,Percentage,Data from the Federal Statistical Office,
2001,3.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2002,4.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2003,4.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2004,4.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2005,4.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2006,4.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
2007,5.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2008,5.4,Percentage,Data from the Federal Ministry of Food and Agriculture,
2009,5.6,Percentage,Data from the Federal Ministry of Food and Agriculture,
2010,5.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
2011,6.1,Percentage,Data from the Federal Ministry of Food and Agriculture,
2012,6.2,Percentage,Data from the Federal Ministry of Food and Agriculture,
2013,6.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2014,6.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2015,6.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2016,7.5,Percentage,Data from the Federal Ministry of Food and Agriculture,
2017,8.2,Percentage,Data from the Federal Ministry of Food and Agriculture,
2018,9.0,Percentage,Data from the Federal Ministry of Food and Agriculture,
2019,9.7,Percentage,Data from the Federal Ministry of Food and Agriculture,
2020,10.3,Percentage,Data from the Federal Ministry of Food and Agriculture,
2021,10.9,Percentage,Data from the Federal Ministry of Food and Agriculture,
