Year,Value,Units,GeoCode
1991,24.89,Percentage,
1992,25.2,Percentage,
1993,24.06,Percentage,
1994,24.14,Percentage,
1995,23.54,Percentage,
1996,23.03,Percentage,
1997,22.65,Percentage,
1998,22.8,Percentage,
1999,23.04,Percentage,
2000,23.11,Percentage,
2001,21.78,Percentage,
2002,20.12,Percentage,
2003,19.52,Percentage,
2004,19.09,Percentage,
2005,19.08,Percentage,
2006,19.8,Percentage,
2007,20.06,Percentage,
2008,20.3,Percentage,
2009,19.27,Percentage,
2010,19.54,Percentage,
2011,20.37,Percentage,
2012,20.32,Percentage,
2013,19.9,Percentage,
2014,20.04,Percentage,
2015,20.02,Percentage,
2016,20.3,Percentage,
2017,20.41,Percentage,
2018,21.06,Percentage,
2019,21.37,Percentage,
2020,21.85,Percentage,
2021,21.89,Percentage,
