Year,Units,Series,Value
2006,percentage,all-day care provision for 0 to 2-year-old children,5.87
2007,percentage,all-day care provision for 0 to 2-year-old children,6.521
2008,percentage,all-day care provision for 0 to 2-year-old children,7.313
2009,percentage,all-day care provision for 0 to 2-year-old children,8.669
2010,percentage,all-day care provision for 0 to 2-year-old children,10.167
2011,percentage,all-day care provision for 0 to 2-year-old children,11.344
2012,percentage,all-day care provision for 0 to 2-year-old children,12.745
2013,percentage,all-day care provision for 0 to 2-year-old children,13.718
2014,percentage,all-day care provision for 0 to 2-year-old children,15.306
2015,percentage,all-day care provision for 0 to 2-year-old children,15.919
2016,percentage,all-day care provision for 0 to 2-year-old children,16.158
2017,percentage,all-day care provision for 0 to 2-year-old children,16.231
2018,percentage,all-day care provision for 0 to 2-year-old children,16.528
2019,percentage,all-day care provision for 0 to 2-year-old children,16.914
2020,percentage,all-day care provision for 0 to 2-year-old children,17.096
2021,percentage,all-day care provision for 0 to 2-year-old children,16.461
2022,percentage,all-day care provision for 0 to 2-year-old children,16.803
2023,percentage,all-day care provision for 0 to 2-year-old children,17.079
2024,percentage,all-day care provision for 0 to 2-year-old children,17.344
2030,percentage,all-day care provision for 0 to 2-year-old children,
2006,percentage,all-day care provision for 3 to 5-year-old children,21.963
2007,percentage,all-day care provision for 3 to 5-year-old children,24.189
2008,percentage,all-day care provision for 3 to 5-year-old children,26.896
2009,percentage,all-day care provision for 3 to 5-year-old children,29.696
2010,percentage,all-day care provision for 3 to 5-year-old children,32.138
2011,percentage,all-day care provision for 3 to 5-year-old children,34.672
2012,percentage,all-day care provision for 3 to 5-year-old children,36.847
2013,percentage,all-day care provision for 3 to 5-year-old children,39.05
2014,percentage,all-day care provision for 3 to 5-year-old children,41.428
2015,percentage,all-day care provision for 3 to 5-year-old children,44.136
2016,percentage,all-day care provision for 3 to 5-year-old children,44.49
2017,percentage,all-day care provision for 3 to 5-year-old children,45.239
2018,percentage,all-day care provision for 3 to 5-year-old children,45.838
2019,percentage,all-day care provision for 3 to 5-year-old children,46.871
2020,percentage,all-day care provision for 3 to 5-year-old children,47.553
2021,percentage,all-day care provision for 3 to 5-year-old children,46.934
2022,percentage,all-day care provision for 3 to 5-year-old children,46.99
2023,percentage,all-day care provision for 3 to 5-year-old children,46.64
2024,percentage,all-day care provision for 3 to 5-year-old children,46.607
2030,percentage,all-day care provision for 3 to 5-year-old children,
