Year,Units,Series,sex,federal state,GeoCode,Value
1996,percentage,foreigns,,,,80.35
1997,percentage,foreigns,,,,80.57
1998,percentage,foreigns,,,,80.51
1999,percentage,foreigns,,,,80.69
2000,percentage,foreigns,,,,80.1
2001,percentage,foreigns,,,,79.83
2002,percentage,foreigns,,,,80.55
2003,percentage,foreigns,,,,80.9
2004,percentage,foreigns,,,,81.91
2005,percentage,foreigns,,,,82.6
2006,percentage,foreigns,,,,83.23
2007,percentage,foreigns,,,,84.0
2008,percentage,foreigns,,,,85.0
2009,percentage,foreigns,,,,86.2
2010,percentage,foreigns,,,,87.19
2011,percentage,foreigns,,,,88.22
2012,percentage,foreigns,,,,88.61
2013,percentage,foreigns,,,,89.29
2014,percentage,foreigns,,,,88.06
2015,percentage,foreigns,,,,88.2
2016,percentage,foreigns,,,,85.83
2017,percentage,foreigns,,,,81.81
2018,percentage,foreigns,,,,81.8
2019,percentage,foreigns,,,,82.37
2020,percentage,foreigns,,,,85.35
1996,percentage,foreigns,female,,,84.47
1997,percentage,foreigns,female,,,84.73
1998,percentage,foreigns,female,,,84.53
1999,percentage,foreigns,female,,,85.23
2000,percentage,foreigns,female,,,84.33
2001,percentage,foreigns,female,,,84.19
2002,percentage,foreigns,female,,,84.42
2003,percentage,foreigns,female,,,84.59
2004,percentage,foreigns,female,,,85.81
2005,percentage,foreigns,female,,,86.42
2006,percentage,foreigns,female,,,86.53
2007,percentage,foreigns,female,,,87.04
2008,percentage,foreigns,female,,,87.92
2009,percentage,foreigns,female,,,88.54
2010,percentage,foreigns,female,,,89.47
2011,percentage,foreigns,female,,,90.34
2012,percentage,foreigns,female,,,90.59
2013,percentage,foreigns,female,,,91.07
2014,percentage,foreigns,female,,,89.41
2015,percentage,foreigns,female,,,90.3
2016,percentage,foreigns,female,,,89.1
2017,percentage,foreigns,female,,,86.35
2018,percentage,foreigns,female,,,85.57
2019,percentage,foreigns,female,,,85.83
2020,percentage,foreigns,female,,,88.02
1996,percentage,foreigns,male,,,76.66
1997,percentage,foreigns,male,,,76.83
1998,percentage,foreigns,male,,,76.9
1999,percentage,foreigns,male,,,77.49
2000,percentage,foreigns,male,,,76.21
2001,percentage,foreigns,male,,,75.63
2002,percentage,foreigns,male,,,76.89
2003,percentage,foreigns,male,,,77.42
2004,percentage,foreigns,male,,,78.31
2005,percentage,foreigns,male,,,79.14
2006,percentage,foreigns,male,,,80.18
2007,percentage,foreigns,male,,,81.21
2008,percentage,foreigns,male,,,82.28
2009,percentage,foreigns,male,,,83.85
2010,percentage,foreigns,male,,,84.97
2011,percentage,foreigns,male,,,86.17
2012,percentage,foreigns,male,,,86.69
2013,percentage,foreigns,male,,,87.56
2014,percentage,foreigns,male,,,86.76
2015,percentage,foreigns,male,,,86.2
2016,percentage,foreigns,male,,,82.9
2017,percentage,foreigns,male,,,77.98
2018,percentage,foreigns,male,,,78.77
2019,percentage,foreigns,male,,,79.49
2020,percentage,foreigns,male,,,83.01
1996,percentage,germans,,,,92.28
1997,percentage,germans,,,,92.29
1998,percentage,germans,,,,92.06
1999,percentage,germans,,,,92.0
2000,percentage,germans,,,,91.69
2001,percentage,germans,,,,91.35
2002,percentage,germans,,,,91.8
2003,percentage,germans,,,,92.07
2004,percentage,germans,,,,92.58
2005,percentage,germans,,,,92.76
2006,percentage,germans,,,,93.05
2007,percentage,germans,,,,93.6
2008,percentage,germans,,,,93.8
2009,percentage,germans,,,,94.23
2010,percentage,germans,,,,94.57
2011,percentage,germans,,,,95.01
2012,percentage,germans,,,,95.1
2013,percentage,germans,,,,95.38
2014,percentage,germans,,,,95.14
2015,percentage,germans,,,,95.0
2016,percentage,germans,,,,95.08
2017,percentage,germans,,,,94.82
2018,percentage,germans,,,,94.58
2019,percentage,germans,,,,94.53
2020,percentage,germans,,,,94.91
1996,percentage,foreigns,female,baden-wuerttemberg,code08,79.95
1997,percentage,foreigns,female,baden-wuerttemberg,code08,80.3
