Year,Value,Units,Series
2012,10.6,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2013,11.6,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2014,31.0,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2015,11.0,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2016,14.3,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2017,28.6,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2018,60.3,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2019,20.4,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2020,12.7,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2030,,millions,number of people gaining first-time or upgraded access to drinking water or sanitation owing to german support
2012,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2013,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2014,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2015,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2016,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2017,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2018,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2019,14.3,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2020,10.9,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2030,,millions,number of people gaining first-time or upgraded access to drinking water owing to german support
2012,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2013,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2014,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2015,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2016,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2017,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2018,,millions,number of people gaining first-time or improved access to sanitation owing to german support
2019,6.1,millions,number of people gaining first-time or improved access to sanitation owing to german support
2020,1.8,millions,number of people gaining first-time or improved access to sanitation owing to german support
2030,,millions,number of people gaining first-time or improved access to sanitation owing to german support
