Year,Value,Units,GeoCode
2008,21.2,percentage,
2009,24.0,percentage,
2010,25.9,percentage,
2011,28.0,percentage,
2012,30.0,percentage,
2013,32.6,percentage,
2014,34.8,percentage,
2015,36.9,percentage,
2016,38.8,percentage,
2017,40.4,percentage,
2018,42.1,percentage,
2019,43.5,percentage,
2009,24.6,percentage,
2010,27.4,percentage,
2011,30.5,percentage,
2012,33.4,percentage,
2013,36.7,percentage,
2014,39.2,percentage,
2015,40.9,percentage,
2016,42.2,percentage,
2017,43.7,percentage,
2018,45.4,percentage,
2019,46.7,percentage,
2008,27.4,percentage,
2009,30.7,percentage,
2010,33.5,percentage,
2011,36.5,percentage,
2012,38.6,percentage,
2013,40.5,percentage,
2014,42.2,percentage,
2015,44.8,percentage,
2016,46.5,percentage,
2017,47.7,percentage,
2018,49.3,percentage,
2019,50.7,percentage,
2008,27.5,percentage,
2009,30.7,percentage,
2010,32.2,percentage,
2011,33.7,percentage,
2012,35.5,percentage,
2013,37.9,percentage,
2014,39.7,percentage,
2015,40.9,percentage,
2016,42.9,percentage,
2017,43.8,percentage,
2018,45.2,percentage,
2019,46.1,percentage,
2008,25.5,percentage,
2009,27.3,percentage,
2010,28.1,percentage,
2011,30.2,percentage,
2012,32.4,percentage,
2013,34.8,percentage,
2014,36.6,percentage,
2015,40.0,percentage,
2016,42.5,percentage,
2017,44.9,percentage,
2018,45.8,percentage,
2019,48.4,percentage,
2008,18.3,percentage,
2009,19.9,percentage,
2010,19.3,percentage,
2011,21.7,percentage,
2012,22.9,percentage,
2013,25.8,percentage,
2014,27.1,percentage,
2015,28.1,percentage,
2016,31.0,percentage,
2017,33.4,percentage,
2018,35.0,percentage,
2019,36.3,percentage,
2008,22.9,percentage,
2009,27.4,percentage,
2010,28.5,percentage,
2011,31.1,percentage,
2012,33.7,percentage,
2013,36.2,percentage,
2014,38.0,percentage,
2015,40.2,percentage,
2016,41.0,percentage,
2017,42.5,percentage,
2018,44.8,percentage,
2019,45.9,percentage,
2008,20.3,percentage,
2009,23.3,percentage,
2010,25.3,percentage,
2011,27.2,percentage,
2012,29.4,percentage,
2013,30.8,percentage,
2014,33.1,percentage,
2015,34.4,percentage,
2016,35.8,percentage,
2017,37.3,percentage,
2018,38.5,percentage,
2019,38.9,percentage,
2008,20.5,percentage,
2009,23.3,percentage,
2010,23.5,percentage,
2011,21.3,percentage,
2012,25.3,percentage,
2013,26.5,percentage,
2014,28.0,percentage,
2015,31.2,percentage,
2016,35.2,percentage,
2017,36.5,percentage,
2018,38.4,percentage,
2019,39.9,percentage,
2008,19.5,percentage,
2009,21.6,percentage,
2010,23.2,percentage,
2011,25.3,percentage,
2012,26.9,percentage,
2013,29.3,percentage,
2014,31.5,percentage,
2015,34.5,percentage,
2016,36.7,percentage,
2017,38.4,percentage,
2018,40.6,percentage,
2019,42.9,percentage,
2008,16.8,percentage,
2009,18.5,percentage,
2010,19.7,percentage,
2011,20.9,percentage,
2012,22.0,percentage,
2013,25.6,percentage,
2014,27.5,percentage,
2015,29.4,percentage,
2016,31.7,percentage,
2017,33.4,percentage,
2018,35.3,percentage,
2019,36.7,percentage,
2008,17.5,percentage,
2009,20.1,percentage,
2010,21.7,percentage,
2011,23.6,percentage,
2012,25.0,percentage,
2013,27.3,percentage,
2014,30.3,percentage,
2015,31.9,percentage,
2016,33.5,percentage,
2017,35.0,percentage,
2018,37.0,percentage,
2019,39.4,percentage,
2008,12.9,percentage,
2009,14.6,percentage,
2010,16.4,percentage,
2011,18.8,percentage,
2012,19.1,percentage,
2013,21.0,percentage,
2014,24.1,percentage,
2015,25.3,percentage,
2016,28.5,percentage,
2017,28.4,percentage,
2018,29.2,percentage,
2019,32.2,percentage,
2008,26.9,percentage,
2009,31.0,percentage,
2010,33.0,percentage,
2011,36.0,percentage,
2012,38.5,percentage,
2013,41.1,percentage,
2014,44.7,percentage,
2015,47.5,percentage,
2016,49.1,percentage,
2017,51.9,percentage,
2018,53.5,percentage,
2019,54.8,percentage,
2008,17.6,percentage,
2009,17.9,percentage,
2010,20.1,percentage,
2011,22.2,percentage,
2012,23.2,percentage,
2013,25.9,percentage,
2014,28.6,percentage,
2015,31.7,percentage,
2016,35.1,percentage,
2017,36.8,percentage,
2018,38.8,percentage,
2019,40.1,percentage,
2008,18.4,percentage,
2009,19.9,percentage,
2010,22.0,percentage,
2011,24.0,percentage,
2012,24.7,percentage,
2013,27.0,percentage,
2014,29.4,percentage,
2015,30.8,percentage,
2016,33.4,percentage,
2017,34.6,percentage,
2018,36.5,percentage,
2019,37.9,percentage,
2008,25.0,percentage,
2009,28.4,percentage,
2010,29.4,percentage,
2011,32.1,percentage,
2012,34.6,percentage,
2013,37.0,percentage,
2014,40.6,percentage,
2015,43.3,percentage,
2016,45.2,percentage,
2017,47.6,percentage,
2018,49.1,percentage,
2019,50.2,percentage,
